nome_exame_oficial,sinonimos,codigo_tasy,codigo_tuss,terminologia_procedimentos
Ácido salicílico - pesquisa e/ou dosagem,,,40313077,
Ácido siálico - pesquisa e/ou dosagem,,,40301141,
Ácido úrico - pesquisa e/ou dosagem,,,40301150,
Ácido valpróico - pesquisa e/ou dosagem,,,40301168,
Ácido vanilmandélico (VMA) - pesquisa e/ou dosagem,,,40316033,
Ácidos biliares - pesquisa e/ou dosagem,,,40301176,
Ácidos graxos cadeia longa,,,40302890,
Ácidos graxos cadeia muito longa,,,40302903,
Ácidos graxos livres - pesquisa e/ou dosagem,,,40301184,
Ácidos orgânicos (perfil quantitativo),,,40301192,
ACILCARNI,,ACILCARNI,,
Acilcarnitinas (perfil qualitativo),,,40301206,
Acilcarnitinas (perfil quantitativo),,,40301214,
ACILQ,,ACILQ,,
ACIN,,ACIN,,
ACINDV,,ACINDV,,
ACINING,,ACINING,,
ACINR,,ACINR,,
ACM,,ACM,,
ACMET,,ACMET,,
ACMETU,,ACMETU,,
ACOGQ,,ACOGQ,,
"Acompanhamento clínico ambulatorial da retinopatia da prematuridade por avaliação do 1º ao 30º dia, até 5 avaliações, em consultório",,,20101449,
"Acompanhamento clínico ambulatorial de uveítes anteriores agudas e/ou coriorrenites focais ou disseminadas em atividade por avaliação do 1º ao 30º dia, até a5 avaliações, em consultório",,,20101457,
"Acompanhamento clínico ambulatorial do pós-operatório de cirurgia de catarata congênita ou glaucoma congênito, por avaliação do 11º ao 30º dias, até 3 avaliações, em consultório",,,20101430,
"Acompanhamento clínico ambulatorial do tabagista, por avaliação, do 1º ao 90º dia, até 7 avaliações clínicas",,,20101414,
"Acompanhamento clínico ambulatorial pós-cirurgia fistulizante antoglaucomatosa - por avaliação do 11º ao 30º dia, até três avaliações",,,20101406,
Acompanhamento clínico ambulatorial pós-transplante de córnea -por avaliação do 11º ao 30º dia até 3 avaliações,,,20101210,
Acompanhamento clínico ambulatorial pós-transplante de medula óssea,,,20101228,
Acompanhamento clínico ambulatorial pós-transplante hepático,,,20101465,
Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação,,,20101015,
Acompanhamento clínico de transplante hepático no período de internação do receptor e do doador,,,20201141,
Acompanhamento clínico de transplante renal no período de internação do receptor e do doador (pós-operatório até 15 dias),,,20201010,
"Acompanhamento clínico hospitalar do tabagista em síndrome de abstinência, por avaliação, com visitas pós internação e pré alta, limitada a 2",,,20201150,
Acompanhamento de cuidador domiciliar,,,50000543,
Acompanhamento de cuidador para paciente psiquiátrico,,,50000551,
Acompanhamento de tratamento/procedimento cirúrgico em odontologia,,,82000026,
Acompanhamento e reabilitação profissional por psicólogo,,,50000519,
Acompanhamento hospitalar/dia do transplante de medula óssea por médico hematologista e/ou hemoterapeuta,,,40403017,
Acompanhamento médico na litotripsia extracorpórea,,,20201133,
"Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco",,,10105077,
Acompanhamento peroperatório,,,20201028,
Aconselhamento genético,,,10106014,
ACORG,,ACORG,,
ACP,,ACP,,
ACR,,ACR,,
Acromioplastia - procedimento videoartroscópico de ombro,,,30735033,
ACRU,,ACRU,,
ACS,,ACS,,
Actinoterapia (por sessão),,,20104014,
ACTR,,ACTR,,
ACU24,,ACU24,,
Acupuntura por sessão,,,31601014,
ACUR,,ACUR,,
ACV,,ACV,,
ADAL,,ADAL,,
ADALA,,ADALA,,
ADALC,,ADALC,,
ADALR,,ADALR,,
ADAPE,,ADAPE,,
ADAPL,,ADAPL,,
Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular,,,20103018,
ADAS,,ADAS,,
ADDIS,,ADDIS,,
ADENF,,ADENF,,
ADENM,,ADENM,,
ADENO,,ADENO,,
Adeno-amigdalectomia,,,30205034,
Adeno tonsilectomia - revisão cirúrgica,,,30205026,
Adenograma (inclui hemograma),,,40304957,
Adenoidectomia,,,30205042,
Adenoidectomia por videoendoscopia,,,30205271,
Adenomastectomia com redução de excesso de pele,,,30602394,
"Adenomastectomia / mastectomia preservadora de pele, aréola e papila",,,30602386,
Adenosina de aminase (ADA) - pesquisa e/ou dosagem em líquidos orgânicos,,,40309010,
"Adenovírus, IgG - pesquisa e/ou dosagem",,,40306011,
"Adenovírus, IgM - pesquisa e/ou dosagem",,,40306020,
ADENPD,,ADENPD,,
Adequação do meio bucal,,,85100242,
Adesividade plaquetária,,,40319393,
ADIPO,,ADIPO,,
Adiponectina,,ADIPO,40316580,
Adrenalectomia laparoscópica unilateral,,,31101488,
Adrenalectomia unilateral,,,31101038,
"Adrenocorticotrófico, hormônio (ACTH) - pesquisa e/ou dosagem",,,40316041,
ADSPCR,,ADSPCR,,
ADU24,,ADU24,,
ADUR,,ADUR,,
AEA,,AEA,,
AEG,,AEG,,
AEM,,AEM,,
AFA2,,AFA2,,
AFAG,,AFAG,,
AFAM,,AFAM,,
AFAMG,,AFAMG,,
AFC,,AFC,,
AFE,,AFE,,
AFELC,,AFELC,,
AFELQ,,AFELQ,,
Aférese para paciente ABO incompatível,,,40401057,
AFG,,AFG,,
AFOSF,,AFOSF,,
AGAA,,AGAA,,
Agenesia de rádio (centralização da ulna no carpo),,,30721016,
AGL,,AGL,,
AGLA,,AGLA,,
AGPL,,AGPL,,
AHI,,AHI,,
AHIAL,,AHIAL,,
AHO,,AHO,,
AHOAC,,AHOAC,,
AIL,,AIL,,
AIN,,AIN,,
AINFAB,,AINFAB,,
AJO,,AJO,,
Ajuste Oclusal por acréscimo,,,85400017,
Ajuste Oclusal por desgaste seletivo,,,85400025,
Alargamento de traqueostomia,,,30206014,
ALB,,ALB,,
ALBLC,,ALBLC,,
"Albumina, líquor",,,40322378,
Albumina - pesquisa e/ou dosagem,,,40301222,
Alcaptonúria - pesquisa e/ou dosagem na urina,,,40311031,
Alcoolização percutânea de angioma,,,40813053,
Alcoolização percutânea dirigida de tumor hepático,,,31005020,
Alcoolização percutânea dirigida de tumor hepático por videolaparoscopia,,,31005462,
ALD,,ALD,,
Aldolase - pesquisa e/ou dosagem,,,40301230,
Aldosterona - pesquisa e/ou dosagem,,,40316050,
Alérgenos - perfil antigênico (painel C/36 antígenos) - pesquisa e/ou dosagem,,,40307905,
Aletas Gomes,,,86000012,
"Alfa 1 anti tripsina, fenotipagem",,,40304965,
"Alfa -1-antitripsina, (fezes) - pesquisa e/ou dosagem",,,40303012,
"Alfa-1-antitripsina, pesquisa e/ou dosagem no soro",,,40301249,
Alfa-1-glicoproteína ácida - pesquisa e/ou dosagem,,,40301257,
Alfa-2-macroglobulina - pesquisa e/ou dosagem,,,40301265,
"Alfa-2antiplasmina, teste funcional",,,40304663,
"Alfa fetoproteína L3, líquor",,,40322360,
Alfa-fetoproteína - pesquisa e/ou dosagem,,,40316068,
"Alfa-galactosidade, dosagem plásmatica",,,40322386,
"Alfa L-iduronase, plasma",,,40322394,
Alfa talassemia anal molecular sangue,,,40304973,
ALK - pesquisa de mutação,,,40503852,
Alongamento,,,30730015,
Alongamento cirúrgico do palato mole,,,30202019,
Alongamento com fixador dinâmico - tratamento cirúrgico,,,30727022,
Alongamento de columela,,,30501040,
Alongamento de fêmur - tratamento cirúrgico,,,30725020,
Alongamento de tendões - tratamento cruento,,,30731240,
Alongamento do rádio/ulna - tratamento cirúrgico,,,30721024,
Alongamento dos ossos da perna - tratamento cirúrgico,,,30727030,
Alongamento dos ossos do antebraço com fixador externo dinâmico - tratamento cirúrgico,,,30720028,
Alongamento/transporte ósseo com fixador externo,,,30722047,
Alongamento / transporte ósseo / pseudoartrose com fixador externo - coxa/fêmur,,,30725011,
Alongamento / transporte ósseo / pseudoartrose com fixador externo - perna,,,30727014,
Alongamentos tendinosos de mão,,,30722055,
Alopecia parcial - exérese e sutura,,,30101026,
Alopecia parcial - rotação de retalho,,,30101034,
Alopecia parcial - rotação múltipla de retalhos,,,30101042,
ALS,,ALS,,
ALU,,ALU,,
"Alumínio, pesquisa e/ou dosagem no soro",,,40301273,
Alveoloplastia,,,82000034,
ALZBIO,,ALZBIO,,
AMA,,AMA,,
AMBG,,AMBG,,
AMCD,,AMCD,,
AME,,AME,,
"Ameba, pesquisa",,,40308421,
"Ameba, pesquisa antígeno nas fezes, Elisa",,,40308430,
"Amebíase, IgG - pesquisa e/ou dosagem",,,40308308,
"Amebíase, IgM - pesquisa e/ou dosagem",,,40308316,
AMH,,AMH,,
AMHI,,AMHI,,
AMI,,AMI,,
AMIC,,AMIC,,
AMID,,AMID,,
Amigdalectomia das palatinas,,,30205050,
Amigdalectomia lingual,,,30205069,
AMIISO,,AMIISO,,
"Amilase ou alfa-amilase, isoenzimas - pesquisa e/ou dosagem",,,40302130,
Amilase - pesquisa e/ou dosagem,,,40301281,
AMILC,,AMILC,,
Amiloidose - TTR,,,40322564,
"Aminoácidos, fracionamento e quantificação",,,40301290,
Aminoácidos no líquido cefalorraquidiano,,,40309266,
AMINPL,,AMINPL,,
AMINQTLQ,,AMINQTLQ,,
Amiodarona - pesquisa e/ou dosagem,,,40301303,
"Amitriptilina, nortriptilina (cada) - pesquisa e/ou dosagem",,,40301311,
AMIU,,AMIU,,
AML,,AML,,
AMLETOMO,,AMLETOMO,,
AMLETOSG,,AMLETOSG,,
Amniodrenagem ou amnioinfusão guiadas por ultrassonografia,,,31309259,
Amniorredução ou amnioinfusão,,,31309011,
Amnioscopia,,,40201015,
AMO,,AMO,,
AMO24,,AMO24,,
Amônia - pesquisa e/ou dosagem,,,40301320,
AMP cíclico nefrogênico na urina (24h),,,40316599,
AMP cíclico nefrogênico na urina (amostra isolada),,,40316602,
AMP cíclico - pesquisa e/ou dosagem,,,40305163,
AMPAR,,AMPAR,,
"Ampliação (anel valvar, grandes vasos, átrio, ventrículo)",,,30901014,
Ampliação do anel valvar,,,30902010,
Ampliação vesical,,,31103014,
Amplificação de material por biologia molecular (outros agentes),,,40314260,
"Amplificação do material genético (por PCR, PCR em tempo Real, LCR, RT-PCR ou outras técnicas), por primer utilizado, por amostra",,,40503143,
Amputação abdômino-perineal do reto (completa),,,31003010,
Amputação abdômino-perineal do reto (completa) por videolaparoscopia,,,31003575,
Amputação ao nível da coxa - tratamento cirúrgico,,,30725038,
Amputação ao nível do antebraço - tratamento cirúrgico,,,30720036,
Amputação ao nível do braço - tratamento cirúrgico,,,30718015,
Amputação ao nível do pé - tratamento cirúrgico,,,30729017,
Amputação ao nível do tornozelo - tratamento cirúrgico,,,30728010,
Amputação ao nível dos metacarpianos - tratamento cirúrgico,,,30722063,
Amputação bilateral (preparação do coto),,,20103026,
Amputação bilateral (treinamento protético),,,20103034,
Amputação de dedo (cada) - tratamento cirúrgico,,,30722071,
Amputação de perna - tratamento cirúrgico,,,30727049,
Amputação/desarticulação de pododáctilos (por segmento) - tratamento cirúrgico,,,30729025,
Amputação do reto por procidência,,,31003028,
Amputação parcial,,,31206018,
Amputação radicular com obturação retrógrada,,,82000050,
Amputação radicular sem obturação retrógrada,,,82000069,
Amputação total,,,31206026,
Amputação transmetacarpiana,,,30722080,
Amputação transmetacarpiana com transposição de dedo,,,30722098,
Amputação unilateral (preparação do coto),,,20103042,
Amputação unilateral (treinamento protético),,,20103050,
AMT,,AMT,,
AMU,,AMU,,
AMUSK,,AMUSK,,
AN3,,AN3,,
ANA,,ANA,,
ANA24,,ANA24,,
Anabolizantes esteróides na urina (amostra isolada),,,40316610,
"Anal Swab, pesquisa de oxiúrus",,,40303020,
Analgesia controlada pelo paciente - por dia subsequente,,,31602010,
Analgesia por dia subsequente. Acompanhamento de analgesia por cateter peridural,,,31602029,
Analisador da função plaquetaria PFA-100,,,40304981,
Análise acústica da voz por fonoaudiólogo,,,50000667,
Análise computadorizada da voz,,,40103013,
Análise computadorizada de papila e/ou fibras nervosas - monocular (GDX),,,40103021,
Análise computadorizada do segmento anterior - monocular,,,40103030,
Análise da mutação IgVH-cadeia pesada da imunoglobulina,,,40503275,
Análise da proporcionalidade cineantropométrica,,,20101023,
"Análise de DNA com enzimas de restrição por enzima utilizada, por amostra",,,40503011,
"Análise de DNA fetal por enzima de restrição, por enzima utilizada, por amostra (adicional nos exames em que já foi feito o PCR 4.05.03.06-2 e depende da enzima para estabelecer o diagnóstico)",,,40503020,
"Análise de DNA fetal por sonda ou PCR por locus, por amostra",,,40503038,
"Análise de DNA pela técnica de Southern Blot, por sonda utilizada, por amostra",,,40503160,
"Análise de DNA pela técnica multiplex por locus extra, por amostra",,,40503046,
"Análise de DNA pela técnica multiplex por locus, por amostra",,,40503054,
"Análise de DNA por MLPA, por sonda de DNA utilizada, por amostra",,,40503151,
"Análise de DNA por sonda, ou PCR por locus, por amostra",,,40503062,
"Análise de expressão gênica por locus, por amostra, por CGH array, SNP array ou outras técnicas",,,40503224,
Análise de multímeros para pacientes com doença de Von Willebrand,,,40319318,
"Análise de quimerismo pós transplante (STR), cada",,,40314480,
"Análise Eletroterapêutica não invasiva, identificação de ponto motor, cronaximetria, reobase, acomodação e curva I/T - por segmento ou membro",,,50000934,
Anastomose biliodigestiva intra-hepática,,,31005039,
Anastomose linfovenosa,,,30914019,
ANC,,ANC,,
ANCOV19,,ANCOV19,,
AND,,AND,,
ANDCB,,ANDCB,,
Androstenediona - pesquisa e/ou dosagem,,,40316076,
Androsterona,,,40316629,
Anestesia geral ou condutiva para realização de bloqueio neurolítico,,,31602037,
Anestesia para endoscopia diagnóstica,,,31602231,
Anestesia para endoscopia intervencionista,,,31602240,
Anestesia para exames de ressonância magnética,,,31602282,
Anestesia para exames de tomografia computadorizada,,,31602274,
Anestesia para exames de ultrassonografia,,,31602266,
"Anestesia para exames específicos, teste para diagnóstico e outros procedimentos diagnósticos",,,31602304,
Anestesia para exames radiológicos de angiorradiologia,,,31602258,
Anestesia para procedimentos clínicos ambulatoriais e hospitalares,,,31602312,
Anestesia para procedimentos de medicina nuclear,,,31602320,
Anestesia para procedimentos de radioterapia,,,31602290,
Anestesia realizada pelo anestesiologista em atos médicos que não tenham seus portes especialmente previstos.,,,31602347,
Anestesia realizada pelo anestesiologista para as situações de imperativo clínico.,,,31602355,
Aneurisma de aorta abdominal infra-renal,,,30906016,
Aneurisma de aorta abdominal supra-renal,,,30906024,
Aneurisma de aorta-torácica,,,30906032,
Aneurisma de artérias viscerais,,,30906040,
"Aneurisma de axilar, femoral, poplítea",,,30906059,
"Aneurisma de carótida, subclávia, ilíaca",,,30906067,
Aneurisma roto ou trombosado de aorta abdominal abaixo da artéria renal,,,30910013,
Aneurismas - outros,,,30906075,
Aneurismas rotos ou trombosados de aorta abdominal acima da artéria renal,,,30910030,
Aneurismas rotos ou trombosados de artérias viscerais,,,30910048,
"Aneurismas rotos ou trombosados de axilar, femoral, poplítea",,,30910056,
"Aneurismas rotos ou trombosados de carótida, subclávia, ilíaca",,,30910064,
Aneurismas rotos ou trombosados - outros,,,30910021,
Aneurismas rotos ou trombosados torácicos ou tóraco-abdominais,,,30910072,
Aneurismas torácicos ou tóraco-abdominais,,,30906083,
Aneurismectomia de VE,,,30903017,
"Anfetaminas, pesquisa e/ou dosagem",,,40301338,
ANG,,ANG,,
Angio-RM arterial de abdome superior,,,41101510,
Angio-RM arterial de crânio,,,41101537,
Angio-RM arterial de membro inferior (unilateral),,,41101553,
Angio-RM arterial de membro superior (unilateral),,,41101570,
Angio-RM arterial de pelve,,,41101596,
Angio-RM arterial de pescoço,,,41101618,
Angio-RM arterial pulmonar,,,41101499,
Angio-RM de aorta abdominal,,,41101340,
Angio-RM de aorta torácica,,,41101332,
Angio-RM venosa de abdome superior,,,41101529,
Angio-RM venosa de crânio,,,41101545,
Angio-RM venosa de membro inferior (unilateral),,,41101561,
Angio-RM venosa de membro superior (unilateral),,,41101588,
Angio-RM venosa de pelve,,,41101600,
Angio-RM venosa de pescoço,,,41101626,
Angio-RM venosa pulmonar,,,41101502,
Angiofibroma - ressecção transmaxilar e/ou transpalatina,,,30502012,
Angiofluoresceinografia - monocular,,,41301013,
Angiografia com indocianina verde - monocular,,,41301021,
Angiografia de grande angular (AGA),,,41501314,
Angiografia Medular,,,40812154,
Angiografia por cateterismo não seletivo de grande vaso,,,40812030,
Angiografia por cateterismo seletivo de ramo primário - por vaso,,,40812049,
Angiografia por cateterismo superseletivo de ramo secundário ou distal - por vaso,,,40812057,
Angiografia por punção,,,40812022,
Angiografia pós-operatória de controle,,,40812073,
Angiografia radioisotópica,,,40701018,
Angiografia transoperatória de posicionamento,,,40812065,
Angioplastia arterial ou venosa de anastomose vascular de fígado transplantado,,,40813118,
Angioplastia arterial ou venosa de anastomose vascular de rim transplantado,,,40813134,
Angioplastia de aorta para tratamento de coarctação,,,40813088,
Angioplastia de artéria visceral - por vaso,,,40813100,
Angioplastia de ramo intracraniano,,,40813061,
Angioplastia de ramos hipogástricos para tratamento de impotência,,,40813142,
Angioplastia de tronco supra-aórtico,,,40813070,
Angioplastia de tronco venoso,,,40813150,
Angioplastia renal para tratamento de hipertensão renovascular ou outra condição,,,40813126,
Angioplastia renal unilateral a céu aberto,,,31101046,
Angioplastia renal unilateral transluminal,,,31101054,
Angioplastia transluminal da aorta ou ramos ou da artéria pulmonar e ramos (por vaso),,,30912024,
Angioplastia transluminal percutânea,,,40813177,
Angioplastia transluminal percutânea de bifurcação e de tronco com implante de stent,,,30912261,
"Angioplastia transluminal percutânea de múltiplos vasos, com implante de stent",,,30912032,
Angioplastia transluminal percutânea para tratamento de obstrução arterial,,,40813185,
Angioplastia transluminal percutânea por balão (1 vaso),,,30912040,
Angioplastia transluminal percutânea por balão para tratamento de oclusão coronária crônica com ou sem stent,,,30912318,
Angioplastia transluminal transoperatória - por artéria,,,30906113,
Angioplastia venosa para tratamento de síndrome de BUDD-CHIARI,,,40813169,
Angiotensina II,,,40316637,
Angiotomografia arterial de abdome superior,,,41001435,
Angiotomografia arterial de crânio,,,41001370,
Angiotomografia arterial de membro inferior,,,41001478,
Angiotomografia arterial de membro superior,,,41001494,
Angiotomografia arterial de pelve,,,41001451,
Angiotomografia arterial de pescoço,,,41001397,
Angiotomografia arterial de tórax,,,41001419,
Angiotomografia arterial pulmonar,,,41001516,
Angiotomografia de aorta abdominal,,,41001184,
Angiotomografia de aorta torácica,,,41001176,
Angiotomografia ocular (ATO),,,41501322,
Angiotomografia venosa de abdome superior,,,41001443,
Angiotomografia venosa de crânio,,,41001389,
Angiotomografia venosa de membro inferior,,,41001486,
Angiotomografia venosa de membro superior,,,41001508,
Angiotomografia venosa de pelve,,,41001460,
Angiotomografia venosa de pescoço,,,41001400,
Angiotomografia venosa de tórax,,,41001427,
Angiotomografia venosa pulmonar,,,41001524,
ANH,,ANH,,
ANN,,ANN,,
Anomalia anorretal - correção via sagital posterior,,,31003036,
Anomalia anorretal - tratamento cirúrgico via abdômino-perineal,,,31003044,
Anomalia anorretal - tratamento cirúrgico via perineal,,,31003052,
Anopexia mecânica com grampeador,,,31004342,
Anorretomiomectomia,,,31003060,
ANS,,ANS,,
Antebraço - transplantes cutâneos,,,30701023,
Anti 68 KD (Cóclea),,,40308448,
Anti-actina - pesquisa e/ou dosagem,,,40306054,
Anti citosol hepático,,,40308456,
Anti cromatina - IgG,,,40308464,
Anti-DMP - pesquisa e/ou dosagem,,,40307913,
Anti-DNA - pesquisa e/ou dosagem,,,40306062,
"Anti-fator Xa, atividade",,,40319423,
Anti GM1 - IgG/IgM,,,40308472,
"Anti-hialuronidase, determinação da",,,40307921,
"Anti HU (ANNA1), dosagem líquor",,,40324761,
Anti HU (Western Blot),,,40308480,
Anti-JO1 - pesquisa e/ou dosagem,,,40306070,
Anti KU,,,40308499,
Anti-LA/SSB - pesquisa e/ou dosagem,,,40306089,
Anti-LKM-1 - pesquisa e/ou dosagem,,,40306097,
"Anti parainfluenza tipo 1,2,3",,,40308502,
Anti PCNA,,,40308510,
Anti RI (Western Blot),,,40308537,
Anti ribossomal P,,,40308545,
Anti-RNP - pesquisa e/ou dosagem,,,40306100,
Anti-Ro/SSA - pesquisa e/ou dosagem,,,40306119,
Anti-Sm - pesquisa e/ou dosagem,,,40306127,
Anti-TPO - pesquisa e/ou dosagem,,,40316157,
Anti transglutaminase tecidual - IgA,,,40308553,
Anti transglutaminase tecidual - IgG,,,40308561,
Anti YO,,,40308570,
"Anti YO (PCA1), dosagem líquor",,,40308588,
Antibiograma automatizado,,,40310426,
Antibiograma p/ bacilos álcool-resistentes - drogas de 2 linhas,,,40310035,
"Antibiograma (teste de sensibilidade e antibióticos e quimioterápicos), por bactéria - não automatizado",,,40310418,
"Antibióticos, pesquisa e/ou dosagem no soro, cada",,,40301346,
Anticandida - IgG e IgM (cada) - pesquisa e/ou dosagem,,,40306046,
Anticardiolipina - IgA - pesquisa e/ou dosagem,,,40306135,
Anticardiolipina - IgG - pesquisa e/ou dosagem,,,40306143,
Anticardiolipina - IgM - pesquisa e/ou dosagem,,,40306151,
Anticentrômero - pesquisa e/ou dosagem,,,40306160,
